2004
2005
2006
2007
2008
2009
2010
2011,辅导员:69,高校:37,建设:16,队伍:13,工作:13,教育:13
2012,辅导员:91,高校:44,建设:25,队伍:20,教育:16,专业化:14
2013,辅导员:72,高校:35,政治:20,队伍:19,教育:19,思想:19
2014,辅导员:91,高校:52,教育:21,专业化:16,能力:15,思想:14
2015,辅导员:85,高校:45,职业:20,教育:18,能力:16,思想:13
2016,辅导员:42,高校:23,职业:11,能力:10,教育:9,思想:8
